Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,403.000 ± 0.000,403.000 ± 0.000,403.000 ± 0.000,403.000 ± 0.000,17.323 ± 0.573
set_prec,21.571 ± 0.581,20.620 ± 0.557,19.592 ± 0.526,17.976 ± 0.485,16.628 ± 0.448
ArbiTree-CQC,400.468 ± 0.675,399.140 ± 1.236,396.762 ± 2.417,388.324 ± 5.550,374.991 ± 8.210
