Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.807 ± 0.017
set_prec,0.952 ± 0.010,0.931 ± 0.011,0.900 ± 0.014,0.849 ± 0.017,0.800 ± 0.022
ArbiTree-CQC,0.982 ± 0.009,0.976 ± 0.011,0.968 ± 0.012,0.950 ± 0.011,0.921 ± 0.013
