Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.151 ± 1.257,7.151 ± 1.257,7.151 ± 1.257,7.151 ± 1.257,7.151 ± 1.257
set_prec,7.944 ± 1.479,7.944 ± 1.479,7.944 ± 1.479,7.944 ± 1.479,7.944 ± 1.479
set_min,1.730 ± 0.344,1.730 ± 0.344,1.730 ± 0.344,1.730 ± 0.344,1.730 ± 0.344
ArbiTree-CQC,271.412 ± 25.118,271.412 ± 25.118,271.412 ± 25.118,271.412 ± 25.118,271.412 ± 25.118
