Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,11.856 ± 0.338,10.888 ± 0.312,9.874 ± 0.279,8.912 ± 0.248,8.273 ± 0.230
set_prec,16.493 ± 0.384,15.289 ± 0.361,13.670 ± 0.327,11.719 ± 0.291,10.229 ± 0.283
set_min,13.697 ± 0.374,12.934 ± 0.356,11.944 ± 0.327,10.692 ± 0.285,9.576 ± 0.265
ArbiTree-CQC,748.169 ± 6.251,733.270 ± 8.553,710.206 ± 10.059,669.028 ± 11.733,626.742 ± 13.943
