Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.010,0.928 ± 0.011,0.899 ± 0.013,0.847 ± 0.015,0.796 ± 0.017
set_prec,0.949 ± 0.009,0.928 ± 0.012,0.898 ± 0.015,0.847 ± 0.017,0.798 ± 0.018
ArbiTree-CQC,0.983 ± 0.007,0.971 ± 0.008,0.948 ± 0.013,0.910 ± 0.014,0.867 ± 0.016
