Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,40.882 ± 1.295,40.109 ± 1.265,39.155 ± 1.232,37.781 ± 1.191,36.516 ± 1.151
set_prec,50.934 ± 1.302,48.688 ± 1.241,45.872 ± 1.178,41.988 ± 1.077,38.717 ± 0.993
set_min,39.798 ± 1.144,38.874 ± 1.093,37.909 ± 1.027,35.992 ± 0.956,34.174 ± 0.879
ArbiTree-CQC,401.161 ± 0.566,400.561 ± 0.862,399.658 ± 1.016,397.264 ± 1.689,393.657 ± 2.574
