Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.952 ± 0.010,0.932 ± 0.011,0.903 ± 0.013,0.855 ± 0.016,0.807 ± 0.018
set_prec,0.949 ± 0.011,0.930 ± 0.011,0.900 ± 0.014,0.850 ± 0.019,0.801 ± 0.020
set_min,0.950 ± 0.010,0.931 ± 0.011,0.902 ± 0.014,0.854 ± 0.017,0.804 ± 0.020
ArbiTree-CQC,0.987 ± 0.006,0.982 ± 0.010,0.978 ± 0.013,0.971 ± 0.014,0.962 ± 0.015
