Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,2.311 ± 0.470,2.311 ± 0.470,2.311 ± 0.470,2.311 ± 0.470,2.311 ± 0.470
set_prec,2.524 ± 0.578,2.524 ± 0.578,2.524 ± 0.578,2.524 ± 0.578,2.524 ± 0.578
set_min,1.062 ± 0.007,1.062 ± 0.007,1.062 ± 0.007,1.062 ± 0.007,1.062 ± 0.007
ArbiTree-CQC,43.813 ± 14.678,43.813 ± 14.678,43.813 ± 14.678,43.813 ± 14.678,43.813 ± 14.678
