Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.473 ± 0.178,1.473 ± 0.178,1.473 ± 0.178,1.473 ± 0.178,1.473 ± 0.178
set_prec,1.546 ± 0.184,1.546 ± 0.184,1.546 ± 0.184,1.546 ± 0.184,1.546 ± 0.184
set_min,1.024 ± 0.127,1.024 ± 0.127,1.024 ± 0.127,1.024 ± 0.127,1.024 ± 0.127
ArbiTree-CQC,2.830 ± 0.375,2.830 ± 0.375,2.830 ± 0.375,2.830 ± 0.375,2.830 ± 0.375
