Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,15.314 ± 0.393,13.278 ± 0.322,11.192 ± 0.275,8.750 ± 0.218,7.339 ± 0.189
set_prec,28.917 ± 0.822,25.859 ± 0.759,21.505 ± 0.720,16.333 ± 0.599,12.563 ± 0.562
set_min,22.912 ± 0.682,20.625 ± 0.659,17.780 ± 0.644,14.056 ± 0.546,11.333 ± 0.503
ArbiTree-CQC,57.666 ± 0.354,57.563 ± 0.371,57.446 ± 0.367,56.938 ± 0.654,54.205 ± 1.752
