Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.012,0.930 ± 0.014,0.899 ± 0.016,0.850 ± 0.018,0.799 ± 0.022
set_prec,0.947 ± 0.011,0.928 ± 0.012,0.897 ± 0.014,0.845 ± 0.018,0.796 ± 0.020
ArbiTree-CQC,0.999 ± 0.001,0.999 ± 0.001,0.999 ± 0.001,0.998 ± 0.003,0.969 ± 0.024
