Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,3.064 ± 0.783,3.064 ± 0.783,3.064 ± 0.783,3.064 ± 0.783,3.064 ± 0.783
set_prec,3.444 ± 0.951,3.444 ± 0.951,3.444 ± 0.951,3.444 ± 0.951,3.444 ± 0.951
ArbiTree-CQC,156.608 ± 31.608,156.608 ± 31.608,156.608 ± 31.608,156.608 ± 31.608,156.608 ± 31.608
