Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,40.680 ± 0.337,39.510 ± 0.332,37.732 ± 0.311,35.562 ± 0.300,33.862 ± 0.292
set_prec,54.579 ± 0.443,52.201 ± 0.487,49.255 ± 0.502,45.033 ± 0.573,41.688 ± 0.579
set_min,45.009 ± 0.484,43.431 ± 0.469,41.553 ± 0.467,38.616 ± 0.459,36.188 ± 0.463
ArbiTree-CQC,772.012 ± 0.536,771.148 ± 0.826,769.771 ± 1.178,767.579 ± 1.680,765.076 ± 2.146
