Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000
set_prec,20.264 ± 0.261,18.821 ± 0.220,17.160 ± 0.205,15.095 ± 0.172,13.502 ± 0.154
