Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
set_prec,0.817 ± 0.016,0.779 ± 0.018,0.723 ± 0.017,0.636 ± 0.018,0.569 ± 0.021
