Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.924 ± 0.040,1.924 ± 0.040,1.924 ± 0.040,1.924 ± 0.040,1.924 ± 0.040
set_prec,1.557 ± 0.017,1.557 ± 0.017,1.557 ± 0.017,1.557 ± 0.017,1.557 ± 0.017
