Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,8.851 ± 0.314,7.176 ± 0.230,6.671 ± 0.216,5.275 ± 0.174,4.598 ± 0.155
set_prec,14.977 ± 0.465,13.290 ± 0.434,11.481 ± 0.385,9.217 ± 0.324,7.538 ± 0.248
ArbiTree-CQC,56.892 ± 0.773,56.016 ± 1.009,54.252 ± 1.267,50.823 ± 1.444,47.362 ± 1.509
