Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.951 ± 0.010,0.931 ± 0.012,0.900 ± 0.014,0.849 ± 0.019,0.799 ± 0.023
set_prec,0.947 ± 0.011,0.927 ± 0.011,0.897 ± 0.014,0.845 ± 0.019,0.796 ± 0.020
set_min,0.946 ± 0.011,0.925 ± 0.012,0.895 ± 0.014,0.843 ± 0.018,0.792 ± 0.019
ArbiTree-CQC,0.996 ± 0.006,0.990 ± 0.010,0.972 ± 0.016,0.933 ± 0.020,0.882 ± 0.026
