Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,2.690 ± 0.521,2.690 ± 0.521,2.690 ± 0.521,2.690 ± 0.521,2.690 ± 0.521
set_prec,2.911 ± 0.610,2.911 ± 0.610,2.911 ± 0.610,2.911 ± 0.610,2.911 ± 0.610
set_min,1.024 ± 0.133,1.024 ± 0.133,1.024 ± 0.133,1.024 ± 0.133,1.024 ± 0.133
ArbiTree-CQC,5.278 ± 1.069,5.278 ± 1.069,5.278 ± 1.069,5.278 ± 1.069,5.278 ± 1.069
