Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,12.330 ± 0.377,10.602 ± 0.322,9.013 ± 0.275,7.223 ± 0.218,6.191 ± 0.183
set_prec,24.159 ± 0.778,21.137 ± 0.716,17.385 ± 0.664,13.147 ± 0.548,10.384 ± 0.447
set_min,18.604 ± 0.621,16.476 ± 0.604,14.161 ± 0.567,11.509 ± 0.494,9.524 ± 0.455
ArbiTree-CQC,57.486 ± 0.469,57.100 ± 0.677,56.217 ± 1.093,53.745 ± 1.330,50.855 ± 1.437
