Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.011,0.929 ± 0.014,0.898 ± 0.013,0.848 ± 0.015,0.801 ± 0.018
set_prec,0.951 ± 0.011,0.930 ± 0.012,0.900 ± 0.015,0.853 ± 0.019,0.801 ± 0.021
ArbiTree-CQC,0.999 ± 0.001,0.998 ± 0.003,0.991 ± 0.011,0.965 ± 0.019,0.925 ± 0.024
