Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.520 ± 0.179,1.520 ± 0.179,1.520 ± 0.179,1.520 ± 0.179,1.520 ± 0.179
set_prec,1.547 ± 0.194,1.547 ± 0.194,1.547 ± 0.194,1.547 ± 0.194,1.547 ± 0.194
set_min,0.815 ± 0.007,0.815 ± 0.007,0.815 ± 0.007,0.815 ± 0.007,0.815 ± 0.007
ArbiTree-CQC,2.802 ± 0.283,2.802 ± 0.283,2.802 ± 0.283,2.802 ± 0.283,2.802 ± 0.283
