Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,774.000 ± 0.000,33.461 ± 1.016,32.424 ± 0.979,31.491 ± 0.947
set_prec,43.925 ± 1.034,41.902 ± 1.007,38.953 ± 0.975,35.512 ± 0.934,32.572 ± 0.904
ArbiTree-CQC,772.191 ± 0.565,771.531 ± 0.848,769.953 ± 1.139,766.208 ± 2.312,758.546 ± 6.065
