Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,8.382 ± 1.908,8.382 ± 1.908,8.382 ± 1.908,8.382 ± 1.908,8.382 ± 1.908
set_prec,7.802 ± 1.795,7.802 ± 1.795,7.802 ± 1.795,7.802 ± 1.795,7.802 ± 1.795
set_min,1.574 ± 0.355,1.574 ± 0.355,1.574 ± 0.355,1.574 ± 0.355,1.574 ± 0.355
ArbiTree-CQC,288.095 ± 110.552,288.095 ± 110.552,288.095 ± 110.552,288.095 ± 110.552,288.095 ± 110.552
