Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,0.899 ± 0.015,0.849 ± 0.021,0.797 ± 0.021
set_prec,0.950 ± 0.011,0.930 ± 0.013,0.900 ± 0.016,0.847 ± 0.020,0.796 ± 0.022
set_min,0.949 ± 0.012,0.929 ± 0.013,0.899 ± 0.015,0.850 ± 0.019,0.798 ± 0.023
ArbiTree-CQC,0.995 ± 0.003,0.994 ± 0.004,0.991 ± 0.006,0.982 ± 0.009,0.969 ± 0.010
