Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,63.580 ± 145.016,33.494 ± 0.810,32.833 ± 0.784,31.842 ± 0.761,30.875 ± 0.733
set_prec,48.852 ± 0.941,47.137 ± 0.909,45.130 ± 0.873,42.218 ± 0.823,39.537 ± 0.781
