Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.930 ± 0.018,0.912 ± 0.012,0.873 ± 0.014,0.814 ± 0.014,0.772 ± 0.016
set_prec,0.988 ± 0.005,0.979 ± 0.006,0.970 ± 0.007,0.943 ± 0.009,0.913 ± 0.010
