Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.452 ± 0.067,1.452 ± 0.067,1.452 ± 0.067,1.452 ± 0.067,1.452 ± 0.067
set_prec,1.586 ± 0.009,1.586 ± 0.009,1.586 ± 0.009,1.586 ± 0.009,1.586 ± 0.009
