Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,8.569 ± 0.204,7.909 ± 0.162,6.438 ± 0.174,5.213 ± 0.109,4.710 ± 0.092
set_prec,13.057 ± 0.272,11.452 ± 0.226,9.706 ± 0.223,7.767 ± 0.200,6.447 ± 0.169
