Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.993 ± 0.004,0.989 ± 0.004,0.964 ± 0.010,0.912 ± 0.015,0.861 ± 0.018
set_prec,0.962 ± 0.007,0.951 ± 0.008,0.921 ± 0.009,0.871 ± 0.015,0.827 ± 0.017
