Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.949 ± 0.013,0.928 ± 0.014,0.898 ± 0.016,0.852 ± 0.019,0.800 ± 0.021
set_prec,0.953 ± 0.011,0.931 ± 0.014,0.901 ± 0.016,0.851 ± 0.017,0.799 ± 0.022
ArbiTree-CQC,0.969 ± 0.010,0.955 ± 0.012,0.929 ± 0.016,0.880 ± 0.019,0.833 ± 0.020
