Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,4.552 ± 1.212,4.552 ± 1.212,4.552 ± 1.212,4.552 ± 1.212,4.552 ± 1.212
set_prec,5.069 ± 1.474,5.069 ± 1.474,5.069 ± 1.474,5.069 ± 1.474,5.069 ± 1.474
set_min,1.350 ± 0.234,1.350 ± 0.234,1.350 ± 0.234,1.350 ± 0.234,1.350 ± 0.234
ArbiTree-CQC,85.846 ± 19.654,85.846 ± 19.654,85.846 ± 19.654,85.846 ± 19.654,85.846 ± 19.654
