Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,12.964 ± 0.486,10.886 ± 0.418,8.559 ± 0.318,6.669 ± 0.245,5.546 ± 0.203
set_prec,16.604 ± 0.388,14.161 ± 0.342,12.007 ± 0.301,9.314 ± 0.260,7.477 ± 0.219
ArbiTree-CQC,382.448 ± 4.692,372.932 ± 5.981,358.401 ± 7.155,334.151 ± 8.055,312.063 ± 9.127
