Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.947 ± 0.010,0.927 ± 0.013,0.898 ± 0.014,0.848 ± 0.016,0.799 ± 0.022
set_prec,0.948 ± 0.009,0.928 ± 0.012,0.899 ± 0.014,0.849 ± 0.016,0.795 ± 0.018
set_min,0.949 ± 0.009,0.928 ± 0.011,0.897 ± 0.015,0.849 ± 0.017,0.799 ± 0.021
ArbiTree-CQC,0.969 ± 0.008,0.952 ± 0.011,0.928 ± 0.012,0.881 ± 0.014,0.838 ± 0.017
