Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,8.949 ± 0.273,8.018 ± 0.225,6.570 ± 0.186,5.307 ± 0.148,4.771 ± 0.136
set_prec,13.056 ± 0.307,11.550 ± 0.295,9.669 ± 0.283,7.860 ± 0.273,6.592 ± 0.256
set_min,10.308 ± 0.286,9.209 ± 0.263,8.057 ± 0.254,6.761 ± 0.255,5.782 ± 0.248
ArbiTree-CQC,727.488 ± 9.241,709.360 ± 9.508,681.732 ± 10.512,637.896 ± 12.525,590.108 ± 14.476
