Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.201 ± 1.372,7.201 ± 1.372,7.201 ± 1.372,7.201 ± 1.372,7.201 ± 1.372
set_prec,7.950 ± 1.786,7.950 ± 1.786,7.950 ± 1.786,7.950 ± 1.786,7.950 ± 1.786
set_min,1.740 ± 0.361,1.740 ± 0.361,1.740 ± 0.361,1.740 ± 0.361,1.740 ± 0.361
ArbiTree-CQC,272.558 ± 18.549,272.558 ± 18.549,272.558 ± 18.549,272.558 ± 18.549,272.558 ± 18.549
