Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.952 ± 0.012,0.932 ± 0.012,0.901 ± 0.016,0.851 ± 0.015,0.802 ± 0.019
set_prec,0.951 ± 0.011,0.933 ± 0.013,0.903 ± 0.013,0.853 ± 0.019,0.800 ± 0.023
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.001,0.997 ± 0.003,0.985 ± 0.007
