Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,8.164 ± 1.392,8.164 ± 1.392,8.164 ± 1.392,8.164 ± 1.392,8.164 ± 1.392
set_prec,9.305 ± 1.548,9.305 ± 1.548,9.305 ± 1.548,9.305 ± 1.548,9.305 ± 1.548
set_min,1.319 ± 0.025,1.319 ± 0.025,1.319 ± 0.025,1.319 ± 0.025,1.319 ± 0.025
ArbiTree-CQC,336.357 ± 31.431,336.357 ± 31.431,336.357 ± 31.431,336.357 ± 31.431,336.357 ± 31.431
