Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,23.914 ± 0.270,22.799 ± 0.265,21.351 ± 0.253,19.260 ± 0.237,17.891 ± 0.222
set_prec,32.867 ± 0.296,31.294 ± 0.314,29.228 ± 0.313,26.136 ± 0.342,23.401 ± 0.364
set_min,26.217 ± 0.315,24.677 ± 0.311,23.132 ± 0.318,20.973 ± 0.313,19.286 ± 0.293
ArbiTree-CQC,770.937 ± 0.725,768.985 ± 0.921,764.505 ± 2.192,749.877 ± 5.731,725.301 ± 8.521
