Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.959 ± 0.008,0.938 ± 0.011,0.910 ± 0.012,0.868 ± 0.015,0.835 ± 0.016
set_prec,0.956 ± 0.008,0.940 ± 0.009,0.905 ± 0.013,0.858 ± 0.014,0.791 ± 0.015
