Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.409 ± 0.007,1.409 ± 0.007,1.409 ± 0.007,1.409 ± 0.007,1.409 ± 0.007
set_prec,1.564 ± 0.038,1.564 ± 0.038,1.564 ± 0.038,1.564 ± 0.038,1.564 ± 0.038
