Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,13.660 ± 0.364,12.095 ± 0.407,9.548 ± 0.259,7.504 ± 0.186,6.365 ± 0.158
set_prec,22.523 ± 0.706,18.678 ± 0.559,14.964 ± 0.522,10.917 ± 0.404,8.274 ± 0.323
