Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,0.999 ± 0.001,0.997 ± 0.002,0.979 ± 0.006,0.951 ± 0.009
set_prec,0.940 ± 0.008,0.915 ± 0.010,0.881 ± 0.012,0.823 ± 0.013,0.767 ± 0.018
