Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.535 ± 0.039,1.535 ± 0.039,1.535 ± 0.039,1.535 ± 0.039,1.535 ± 0.039
set_prec,1.578 ± 0.009,1.578 ± 0.009,1.578 ± 0.009,1.578 ± 0.009,1.578 ± 0.009
