Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,15.431 ± 0.651,12.549 ± 0.238,10.635 ± 0.190,9.434 ± 0.174
set_prec,13.700 ± 0.185,12.378 ± 0.169,11.029 ± 0.157,9.329 ± 0.153,8.016 ± 0.153
