Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,11.564 ± 0.236,10.633 ± 0.228,9.668 ± 0.203,8.699 ± 0.171,8.136 ± 0.149
set_prec,16.630 ± 0.263,15.194 ± 0.260,13.614 ± 0.214,11.545 ± 0.204,10.021 ± 0.197
