Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.979 ± 0.006,0.962 ± 0.008,0.925 ± 0.011,0.879 ± 0.012,0.841 ± 0.015
set_prec,0.955 ± 0.008,0.933 ± 0.009,0.904 ± 0.010,0.860 ± 0.012,0.804 ± 0.013
