Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.398 ± 0.008,1.398 ± 0.008,1.398 ± 0.008,1.398 ± 0.008,1.398 ± 0.008
set_prec,1.543 ± 0.011,1.543 ± 0.011,1.543 ± 0.011,1.543 ± 0.011,1.543 ± 0.011
