Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,0.931 ± 0.013,0.901 ± 0.014,0.852 ± 0.014,0.802 ± 0.015
set_prec,0.950 ± 0.009,0.930 ± 0.010,0.899 ± 0.013,0.852 ± 0.017,0.801 ± 0.022
ArbiTree-CQC,0.993 ± 0.006,0.986 ± 0.009,0.973 ± 0.013,0.939 ± 0.017,0.895 ± 0.021
