Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,5.186 ± 1.158,5.186 ± 1.158,5.186 ± 1.158,5.186 ± 1.158,5.186 ± 1.158
set_prec,5.304 ± 1.165,5.304 ± 1.165,5.304 ± 1.165,5.304 ± 1.165,5.304 ± 1.165
set_min,1.044 ± 0.088,1.044 ± 0.088,1.044 ± 0.088,1.044 ± 0.088,1.044 ± 0.088
ArbiTree-CQC,82.564 ± 25.824,82.564 ± 25.824,82.564 ± 25.824,82.564 ± 25.824,82.564 ± 25.824
