Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,403.000 ± 0.000,16.313 ± 0.558,14.740 ± 0.485,13.472 ± 0.436,12.655 ± 0.410
set_prec,18.414 ± 0.501,17.392 ± 0.471,16.107 ± 0.441,14.520 ± 0.396,13.122 ± 0.364
set_min,15.345 ± 0.448,14.782 ± 0.435,14.084 ± 0.426,13.021 ± 0.385,12.041 ± 0.350
ArbiTree-CQC,396.683 ± 2.571,392.501 ± 3.405,384.167 ± 4.975,365.450 ± 7.028,344.997 ± 8.274
