Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,0.905 ± 0.015,0.855 ± 0.016,0.807 ± 0.017
set_prec,0.951 ± 0.010,0.932 ± 0.012,0.904 ± 0.014,0.854 ± 0.020,0.804 ± 0.023
ArbiTree-CQC,0.986 ± 0.008,0.980 ± 0.009,0.973 ± 0.010,0.961 ± 0.012,0.945 ± 0.013
