Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,403.000 ± 0.000,403.000 ± 0.000,29.334 ± 1.112,28.208 ± 1.064,27.323 ± 1.035
set_prec,35.539 ± 0.988,34.194 ± 0.925,32.386 ± 0.859,29.909 ± 0.776,27.823 ± 0.707
ArbiTree-CQC,400.643 ± 0.825,399.248 ± 1.051,397.503 ± 1.425,393.409 ± 2.872,386.485 ± 4.791
