Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,5.317 ± 1.130,5.317 ± 1.130,5.317 ± 1.130,5.317 ± 1.130,5.317 ± 1.130
set_prec,5.285 ± 0.913,5.285 ± 0.913,5.285 ± 0.913,5.285 ± 0.913,5.285 ± 0.913
set_min,1.065 ± 0.013,1.065 ± 0.013,1.065 ± 0.013,1.065 ± 0.013,1.065 ± 0.013
ArbiTree-CQC,79.529 ± 28.650,79.529 ± 28.650,79.529 ± 28.650,79.529 ± 28.650,79.529 ± 28.650
