Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,76.248 ± 0.584,75.365 ± 0.587,74.335 ± 0.577,72.694 ± 0.576,71.269 ± 0.577
set_prec,85.047 ± 0.337,83.351 ± 0.365,81.339 ± 0.410,78.386 ± 0.465,75.607 ± 0.513
ArbiTree-CQC,771.658 ± 1.213,771.252 ± 1.481,770.859 ± 1.987,770.782 ± 2.180,770.780 ± 2.183
