Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.949 ± 0.011,0.930 ± 0.012,0.901 ± 0.015,0.849 ± 0.016,0.797 ± 0.021
set_prec,0.948 ± 0.011,0.928 ± 0.014,0.898 ± 0.017,0.848 ± 0.020,0.797 ± 0.025
ArbiTree-CQC,0.999 ± 0.001,0.999 ± 0.002,0.998 ± 0.004,0.998 ± 0.004,0.998 ± 0.004
