Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,19.967 ± 0.459,18.296 ± 0.428,16.535 ± 0.398,14.803 ± 0.353,13.823 ± 0.326
set_prec,15.595 ± 0.579,13.477 ± 0.525,11.248 ± 0.408,8.756 ± 0.340,7.135 ± 0.274
