Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.420 ± 0.031,1.420 ± 0.031,1.420 ± 0.031,1.420 ± 0.031,1.420 ± 0.031
set_prec,1.557 ± 0.038,1.557 ± 0.038,1.557 ± 0.038,1.557 ± 0.038,1.557 ± 0.038
