Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.970 ± 0.006,0.953 ± 0.007,0.927 ± 0.009,0.888 ± 0.011,0.852 ± 0.014
set_prec,0.795 ± 0.017,0.753 ± 0.016,0.705 ± 0.019,0.607 ± 0.019,0.524 ± 0.020
