Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,28.909 ± 0.713,27.483 ± 0.660,25.855 ± 0.602,23.848 ± 0.566,22.274 ± 0.529
set_prec,42.542 ± 0.860,40.490 ± 0.789,38.030 ± 0.750,34.717 ± 0.675,31.842 ± 0.634
