Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.946 ± 0.009,0.926 ± 0.012,0.888 ± 0.014,0.841 ± 0.017,0.774 ± 0.017
set_prec,0.982 ± 0.006,0.976 ± 0.006,0.967 ± 0.007,0.934 ± 0.010,0.909 ± 0.012
