Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.897 ± 0.012,0.870 ± 0.015,0.837 ± 0.015,0.792 ± 0.014,0.752 ± 0.015
set_prec,0.940 ± 0.008,0.922 ± 0.009,0.884 ± 0.011,0.838 ± 0.013,0.773 ± 0.017
