Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,5.301 ± 0.110,5.009 ± 0.088,4.641 ± 0.080,4.221 ± 0.077,3.892 ± 0.065
set_prec,12.522 ± 0.211,11.035 ± 0.215,9.367 ± 0.194,7.527 ± 0.186,6.218 ± 0.163
