Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.421 ± 0.050,1.421 ± 0.050,1.421 ± 0.050,1.421 ± 0.050,1.421 ± 0.050
set_prec,1.543 ± 0.009,1.543 ± 0.009,1.543 ± 0.009,1.543 ± 0.009,1.543 ± 0.009
